5-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-hydroxy-3-methyl-5-oxopentanoic acid	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(CC(=O)O)O)O
(3-carboxy-2-hydroxypropyl)-trimethylazanium	C[N+](C)(C)CC(CC(=O)O)O
2-amino-3-hydroxybenzoic acid	C1=CC(=C(C(=C1)O)N)C(=O)O
3-hydroxy-2-methylpropanoic acid	CC(CO)C(=O)O
S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylpropanethioate	CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid	C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N
6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-hydroxy-6-oxohexanoic acid	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC(=O)O)O)O
3-(3-hydroxyphenyl)propanoic acid	C1=CC(=CC(=C1)O)CCC(=O)O
3-ethenyl-6-[hydroxy-(6-methoxyquinolin-4-yl)methyl]-1-azabicyclo[2.2.2]octan-3-ol	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4(C=C)O)O
3-oxohexanedioic acid	C(CC(=O)O)C(=O)CC(=O)O
6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4,6-dioxohexanoic acid	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O)O
2,4,5,6-tetrahydroxy-3-oxohexanoic acid	C(C(C(C(=O)C(C(=O)O)O)O)O)O
3-oxobutanoic acid	CC(=O)CC(=O)O
3,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-one	C(C1C(C(C(C(O1)O)O)O)OC2C(C(=O)C(C(O2)CO)O)O)O
2-oxo-3-sulfanylpropanoic acid	C(C(=O)C(=O)O)S
S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-methylbut-2-enethioate	CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C
4-hydroxy-3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzoic acid	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C)C)C
3-hydroxybenzaldehyde	C1=CC(=CC(=C1)O)C=O
3-(hydroxymethyl)phenol	C1=CC(=CC(=C1)O)CO
S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 4-(7,12-dihydroxy-10,13-dimethyl-3-oxo-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanethioate	CC(CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(=O)C7)C)O)O)C
2-(2-oxo-3H-furan-5-yl)acetic acid	C1C=C(OC1=O)CC(=O)O
2-oxo-3-phosphonooxypropanoic acid	C(C(=O)C(=O)O)OP(=O)(O)O
2-amino-3-phosphonooxypropanoic acid	C(C(C(=O)O)N)OP(=O)(O)O
3-phenylpropanoic acid	C1=CC=C(C=C1)CCC(=O)O
2-pyridin-3-ylacetic acid	C1=CC(=CN=C1)CC(=O)O
2-amino-3-sulfinopropanoic acid	C(C(C(=O)O)N)S(=O)O
2-oxo-3-sulfinopropanoic acid	C(C(=O)C(=O)O)S(=O)O
3-(carbamoylamino)propanoic acid	C(CNC(=O)N)C(=O)O
3-hydroxy-2-oxo-4-phosphonooxybutanoate	C(C(C(=O)C(=O)[O-])O)OP(=O)(O)O
3-hydroxy-2-oxo-4-phosphonooxybutanoic acid	C(C(C(=O)C(=O)O)O)OP(=O)(O)O
4-pyridin-3-ylbutanoic acid	C1=CC(=CN=C1)CCCC(=O)O
(5-amino-3,4-dihydroxyoxan-2-yl) dihydrogen phosphate	C1C(C(C(C(O1)OP(=O)(O)O)O)O)N
4-amino-3-(1-carboxyethenoxy)cyclohexa-1,5-diene-1-carboxylic acid	C=C(C(=O)O)OC1C=C(C=CC1N)C(=O)O
4-amino-1H-imidazole-5-carboxylic acid	C1=NC(=C(N1)C(=O)O)N
4-aminobutanal	C(CC=O)CN
4-aminobutanoic acid	C(CC(=O)O)CN
2-(5-oxofuran-2-ylidene)acetic acid	C1=CC(=O)OC1=CC(=O)O
[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,3,4-trihydroxy-3-methylbutyl) hydrogen phosphate	CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)O
4,6-dioxooct-2-enedioic acid	C(C(=O)CC(=O)O)C(=O)C=CC(=O)O
4-(diaminomethylideneamino)butanamide	C(CC(=O)N)CN=C(N)N
4-hydroxy-2-oxopentanoic acid	CC(CC(=O)C(=O)O)O
4-(hydroxymethyl)phenol	C1=CC(=CC=C1CO)O
4-hydroxybenzaldehyde	C1=CC(=CC=C1C=O)O
2-(4-hydroxyphenyl)acetic acid	C1=CC(=CC=C1CC(=O)O)O
3-(5-oxo-1,4-dihydroimidazol-4-yl)propanoic acid	C1=NC(C(=O)N1)CCC(=O)O
4-methylpentanal	CC(C)CCC=O
2-hydroxy-4-oxobutane-1,2,4-tricarboxylic acid	C(C(=O)C(=O)O)C(CC(=O)O)(C(=O)O)O
3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoic acid	CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O
2-[3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoylamino]-3-sulfanylpropanoic acid	CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NC(CS)C(=O)O)O
trimethyl(4-oxobutyl)azanium	C[N+](C)(C)CCCC=O
3-carboxypropyl(trimethyl)azanium	C[N+](C)(C)CCCC(=O)O
4-hydroxybenzoic acid	C1=CC(=CC=C1C(=O)O)O
2-[[4-(3-amino-1-oxo-5,6,6a,7-tetrahydro-4H-imidazo[1,5-f]pteridin-10-ium-8-yl)benzoyl]amino]pentanedioic acid	C1C2CN(C=[N+]2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
5-amino-4-oxopentanoic acid	C(CC(=O)O)C(=O)CN
5-aminopentanoic acid	C(CCN)CC(=O)O
10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol	CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
17-(7-hydroxy-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol	CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO
(3,4-dihydroxy-5-oxooxan-2-yl) [[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate	C1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O
2-(6-aminopurin-9-yl)-5-methyloxolane-3,4-diol	CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
2-[[4-[(2-amino-5-formyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid	C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid	C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
2,3-dihydroxy-5-oxohexanedioic acid	C(C(C(C(=O)O)O)O)C(=O)C(=O)O
2-[[4-[(2-amino-5-methyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid	CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-(methylaminomethyl)-2-selanylpyrimidin-4-one	CNCC1=CN(C(=NC1=O)[SeH])C2C(C(C(O2)CO)O)O
1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-(methylaminomethyl)-2-sulfanylpyrimidin-4-one	CNCC1=CN(C(=NC1=O)S)C2C(C(C(O2)CO)O)O
2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol	CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
(5-amino-3,4-dihydroxyoxolan-2-yl)methyl dihydrogen phosphate	C(C1C(C(C(O1)N)O)O)OP(=O)(O)O
[5-[(2-formamidoacetyl)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate	C(C1C(C(C(O1)NC(=O)CNC=O)O)O)OP(=O)(O)O
[5-[(2-aminoacetyl)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate	C(C1C(C(C(O1)NC(=O)CN)O)O)OP(=O)(O)O
[5-(5-aminoimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate	C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)N
[5-[(1-amino-2-formamidoethylidene)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate	C(C1C(C(C(O1)N=C(CNC=O)N)O)O)OP(=O)(O)O
4-(carbamoylamino)-1H-imidazole-5-carboxylic acid	C1=NC(=C(N1)C(=O)O)NC(=O)N
5,6,7,8-tetrahydropteridine	C1CNC2=NC=NC=C2N1
2,3,4,6-tetrahydroxy-5-oxohexanoic acid	C(C(=O)C(C(C(C(=O)O)O)O)O)O
7-[3-hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]hept-5-enoic acid	CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
5-[5-hydroxy-4-(3-hydroxyoct-1-enyl)-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid	CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O
7-[3,5-dihydroxy-2-(3-hydroxyoct-1-enyl)cyclopentyl]hept-5-enoic acid	CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O
[[3-(2-amino-4-oxo-4a,7,8,8a-tetrahydro-3H-pteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate	C1C(=NC2C(N1)N=C(NC2=O)N)C(C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
6-amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid	CC1(C(N2C(S1)C(C2=O)N)C(=O)O)C
7-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-7-oxoheptanoic acid	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O)O
2-amino-6-diazo-5-oxohexanoic acid	C(CC(=O)C=[N+]=[N-])C(C(=O)O)N
5-amino-2,6-dihydroxy-6-oxohex-1-ene-1-diazonium	C(CC(=C[N+]#N)O)C(C(=O)O)N
1-(2-amino-4-oxo-4a,5,6,7,8,8a-hexahydro-3H-pteridin-6-yl)propane-1,2-dione	CC(=O)C(=O)C1CNC2C(N1)C(=O)NC(=N2)N
6,7-dihydropteridine	C1CN=C2C(=N1)C=NC=N2
[3,4,5-trihydroxy-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methyl dihydrogen phosphate	C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O
5,12-dihydroxyicosa-6,8,10,14-tetraenoic acid	CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O
4-[(2-amino-4-oxo-7,8-dihydro-1H-pteridin-6-yl)methylamino]benzoic acid	C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)O
2-amino-5-(aminomethyl)-1,7-dihydropyrrolo[2,3-d]pyrimidin-4-one	C1=C(C2=C(N1)NC(=NC2=O)N)CN
10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol	CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C
8-amino-7-oxononanoic acid	CC(C(=O)CCCCCC(=O)O)N
ethane-1,2-diol	C(CO)O
acetate	CC(=O)[O-]
acetic acid	CC(=O)O
acetaldehyde	CC=O
acetamide	CC(=O)N
3-hydroxybutan-2-one	CC(C(=O)C)O
propan-2-one	CC(=O)C
